 5,   3,     21,        12.240,     398.2,      3.36
 5,  15,     21,        12.582,     379.0,      3.26
 5,  25,     21,        12.571,     389.9,      3.79
 5,  31,     21,        11.316,     379.4,      3.49
 6,  12,     21,        12.044,     359.0,      3.49
 6,  18,     21,        12.118,     393.3,      3.66
 6,  26,     21,        11.732,     364.9,      3.89
# 7,   9,     21,        12.009,     302.9,      3.69
 7,  11,     21,        11.804,     413.5,      3.87
 7,  28,     21,        12.909,     399.3,      3.99
 8,   7,     21,        11.943,     359.8,      4.09
 8,  10,     21,        12.823,     419.5,      3.88
 8,  21,     21,        11.263,     385.1,      3.75
 8,  28,     21,        12.076,     375.1,      4.19
 9,  11,     21,        12.730,     391.3,      3.81
 9,  25,     21,        11.907,     358.2,      3.71
10,   9,     21,        12.101,     358.2,      3.99
10,  17,     21,        10.957,     340.6,      3.78
11,   6,     21,        10.668,     294.9,      3.79
11,  20,     21,        12.246,     357.9,      3.89
12,   9,     21,        13.402,     365.9,      4.09
12,  22,     21,        12.271,     332.8,      4.09
 1,  14,     22,        11.671,     329.4,      4.19
 1,  28,     22,        13.224,     378.6,      4.19
 2,   6,     22,        12.994,     390.4,      4.19
 2,  18,     22,        11.927,     367.6,      3.99
 3,   5,     22,        12.277,     337.8,      4.19
 3,  31,     22,        12.618,     347.0,      4.81
 5,   1,     22,        10.359,     313.8,      4.49
 5,  11,     22,        11.417,     334.9,      4.71
 5,  25,     22,        12.405,     375.0,      5.25
 6,   1,     22,         9.616,     299.8,      5.22
 6,  13,     22,        12.391,     363.8,      5.79
 6,  25,     22,        11.551,     350.0,      5.35
 7,   2,     22,        11.969,     365.8,      5.41
 7,  16,     22,        12.582,     383.7,      5.26
 7,  28,     22,        12.010,     369.0,      4.89
 8,   5,     22,        11.007,     341.0,      4.71
 8,   9,     22,        12.688,     416.9,      4.99
 8,  18,     22,        12.191,     386.8,      4.51
 8,  21,     22,        12.398,     373.5,      4.84
 8,  31,     22,        12.042,     372.1,      4.67
 9,  20,     22,        12.636,     394.4,      4.59
10,   2,     22,        12.319,     387.2,      5.15
10,  18,     22,        13.306,     396.7,      4.95
10,  29,     22,        12.573,     393.2,      4.86
11,  15,     22,        10.168,     309.8,      4.99
11,  29,     22,        12.492,     329.7,      4.99
12,  11,     22,        12.390,     373.2,      3.95
12,  24,     22,        10.790,     290.3,      3.59
 1,   3,     23,        12.513,     404.4,      3.99
 1,  19,     23,        11.750,     359.0,      3.73
 2,   1,     23,        12.350,     337.2,      3.99
 2,  11,     23,        11.769,     363.7,      3.81
 2,  19,     23,        12.370,     356.6,      4.59
 3,  10,     23,        12.160,     360.7,      4.13
 3,  23,     23,        12.831,     378.6,      4.59
 4,   4,     23,        12.941,     395.2,      3.79
 4,  16,     23,        12.365,     371.5,      3.89
 4,  30,     23,        13.085,     396.3,      4.29
 5,   6,     23,         8.030,     273.2,      4.43
 5,  11,     23,        12.710,     409.2,      4.85
 5,  17,     23,        12.455,     399.0,      4.65
 5,  26,     23,        12.892,     406.6,      4.45
 6,  11,     23,        12.856,     392.4,      4.29
 7,  13,     23,        11.030,     356.0,      4.85
 7,  23,     23,        11.194,     335.4,      4.95
 8,  11,     23,        12.569,     381.6,      4.89
 8,  24,     23,        11.981,     368.7,      5.09
 9,   2,     23,         9.572,     302.5,      5.09
 9,   8,     23,        10.788,     323.9,      5.15
 9,  23,     23,        12.590,     400.1,      5.09
 9,  30,     23,        11.379,     377.1,      5.29
10,   7,     23,        11.695,     368.3,      4.89
10,  20,     23,        12.720,     380.4,      4.53
10,  29,     23,        12.694,     386.3,      4.19
11,  10,     23,        12.783,     367.2,      4.15
11,  19,     23,        11.510,     352.1,      4.15
11,  26,     23,        11.441,     343.3,      4.05
12,   2,     23,        11.295,     357.8,      4.03
12,  16,     23,        12.159,     345.3,      3.95
 1,   1,     24,        12.413,     355.0,      3.95
 1,  13,     24,        12.060,     339.9,      3.37
 1,  22,     24,        12.028,     355.3,      3.85
 2,   3,     24,        12.034,     356.7,      3.89
 2,  17,     24,        11.356,     334.7,      3.79
 3,  13,     24,        11.596,     334.3,      4.23
 3,  23,     24,        11.821,     356.6,      4.39
 4,   3,     24,        12.226,     376.8,      4.89
 4,  12,     24,         7.393,     223.9,      4.05
 4,  20,     24,        12.082,     370.9,      4.59
 5,   4,     24,        12.503,     395.5,      4.11
 5,  17,     24,        13.100,     386.1,      4.99
 6,   1,     24,        11.837,     358.9,      4.45
 6,  22,     24,        11.929,     380.6,      4.45
 7,   4,     24,        12.065,     358.5,      4.31
 7,  25,     24,        12.727,     404.4,      4.25
 8,   2,     24,         9.242,     289.0,      4.07
 8,   8,     24,        12.135,     385.2,      4.05
 8,  19,     24,        10.003,     386.4,      3.99
 8,  25,     24,        12.008,     282.7,      4.19
 9,   2,     24,        11.488,     362.9,      4.19
 9,  28,     24,        11.945,     377.0,      3.65
10,   6,     24,        11.865,     363.5,      4.29
10,  19,     24,        12.724,     386.3,      3.83
10,  26,     24,         9.265,     303.7,      3.99
11,   2,     24,        12.852,     381.4,      4.39
11,  16,     24,        12.279,     375.8,      3.95
11,  26,     24,        11.563,     340.8,      3.99
12,   9,     24,        11.334,     347.5,      3.35
